"","x"
"1",-2.975
"2",-2.925
"3",-2.875
"4",-2.825
"5",-2.775
"6",-2.725
"7",-2.675
"8",-2.625
"9",-2.575
"10",-2.525
"11",-2.475
"12",-2.425
"13",-2.375
"14",-2.325
"15",-2.275
"16",-2.225
"17",-2.175
"18",-2.125
"19",-2.075
"20",-2.025
"21",-1.975
"22",-1.925
"23",-1.875
"24",-1.825
"25",-1.775
"26",-1.725
"27",-1.675
"28",-1.625
"29",-1.575
"30",-1.525
"31",-1.475
"32",-1.425
"33",-1.375
"34",-1.325
"35",-1.275
"36",-1.225
"37",-1.175
"38",-1.125
"39",-1.075
"40",-1.025
"41",-0.975
"42",-0.925
"43",-0.875
"44",-0.825
"45",-0.775
"46",-0.725
"47",-0.675
"48",-0.625
"49",-0.575
"50",-0.525
"51",-0.475
"52",-0.425
"53",-0.375
"54",-0.325
"55",-0.275
"56",-0.225
"57",-0.175
"58",-0.125
"59",-0.075
"60",-0.0249999999999999
"61",0.0249999999999999
"62",0.075
"63",0.125
"64",0.175
"65",0.225
"66",0.275
"67",0.325
"68",0.375
"69",0.425
"70",0.475
"71",0.525
"72",0.575
"73",0.625
"74",0.675
"75",0.725
"76",0.775
"77",0.825
"78",0.875
"79",0.925
"80",0.975
"81",1.025
"82",1.075
"83",1.125
"84",1.175
"85",1.225
"86",1.275
"87",1.325
"88",1.375
"89",1.425
"90",1.475
"91",1.525
"92",1.575
"93",1.625
"94",1.675
"95",1.725
"96",1.775
"97",1.825
"98",1.875
"99",1.925
"100",1.975
